,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
218,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,67990
219,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,79990
220,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
221,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
222,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,89991
223,ASUS,Window,DDR5,32,Intel,Others,1,15.6,SSD,1024,241991
224,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,43491
225,Others,Window,DDR4,8,Intel,Others,1,14.0,SSD,256,46991
226,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
227,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
228,Others,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,40991
229,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,94990
230,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
231,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
232,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,1024,114990
233,APPLE,Mac,,8,Others,Others,1,15.6,SSD,256,121990
234,ASUS,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,37991
235,ASUS,Window,DDR4,8,Intel,Intel,1,15.6,SSD,256,27991
236,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,194991
237,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,44991
238,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,40191
239,Lenovo,Window,DDR4,8,AMD,Others,1,15.6,SSD,512,34990
240,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
241,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
242,ASUS,Window,Others,16,Intel,Others,1,14.0,SSD,1024,94990
243,Lenovo,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,69991
244,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,59991
245,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,66990
246,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
247,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
248,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,104991
249,DELL,Window,DDR4,8,Intel,Others,1,14.0,SSD,256,54901
250,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
251,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
252,Lenovo,Window,DDR4,16,AMD,Others,2,15.6,SSD,1024,136990
253,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,48184
254,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,74991
255,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,60990
256,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
